"Item Group Code","Item Group","Item Code","Item","Factor","CPC Code","HS Code","HS07 Code","HS12 Code"
"QD","Crops Processed","1242","Margarine and shortening","1","21700.02","","151710, 151790","151710, 151790"
"QD","Crops Processed","165","Molasses","1","23540","","170310, 170390","170310, 170390"
"QD","Crops Processed","334","Oil of linseed","1","21691.12","","151511, 151519","151511, 151519"
"QD","Crops Processed","60","Oil of maize","1","21691.02","","151521, 151529","151521, 151529"
"QD","Crops Processed","258","Oil of palm kernel","1","21691.14","","151321, 151329","151321, 151329"
"QD","Crops Processed","290","Oil of sesame seed","1","21691.07","","151550","151550"
"QD","Crops Processed","261","Olive oil","1","2167","","150910","150910"
"QD","Crops Processed","256","Palm kernels","1","01491.02","","120999","120999"
"QD","Crops Processed","257","Palm oil","1","2165","","151110, 151190","151110, 151190"
"QD","Crops Processed","271","Rapeseed or canola oil, crude","1","21641.01","","151411, 151419, 151491, 151499","151411, 151419, 151491, 151499"
"QD","Crops Processed","162","Raw cane or beet sugar (centrifugal only)","1","2351f","","170111, 170112","170112, 170114"
"QD","Crops Processed","281","Safflower-seed oil, crude","1","21631.02","","151211, 151219","151211, 151219"
"QD","Crops Processed","237","Soya bean oil","1","2161","","150710, 150790","150710, 150790"
"QD","Crops Processed","268","Sunflower-seed oil, crude","1","21631.01","","151211, 151219","151211, 151219"
"QD","Crops Processed","564","Wine","1","24212.02","","220410, 220421, 220429","220410, 220421, 220429"
"1714","Crops, primary","809","Abaca, manila hemp, raw","1","01929.07","","530500","530500"
"1714","Crops, primary","800","Agave fibres, raw, n.e.c.","1","01929.06","","530500","530500"
"1714","Crops, primary","221","Almonds, in shell","1","01371","","080211","080211"
"1714","Crops, primary","711","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1","01654","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
"1714","Crops, primary","515","Apples","1","01341","","080810","080810"
"1714","Crops, primary","526","Apricots","1","01343","","080910","080910"
"1714","Crops, primary","226","Areca nuts","1","01379.01","","080290","080280"
"1714","Crops, primary","366","Artichokes","1","01216","","070990","070991"
"1714","Crops, primary","367","Asparagus","1","01211","","070920","070920"
"1714","Crops, primary","572","Avocados","1","01311","","080440","080440"
"1714","Crops, primary","839","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","1","03211","","400130","400130"
"1714","Crops, primary","203","Bambara beans, dry","1","01708","","071339","071334"
"1714","Crops, primary","486","Bananas","1","01312","","080300","080390"
"1714","Crops, primary","44","Barley","1","0115","","100300","100310, 100390"
"1714","Crops, primary","176","Beans, dry","1","01701","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
"1714","Crops, primary","552","Blueberries","1","01355.01","","081040","081040"
"1714","Crops, primary","216","Brazil nuts, in shell","1","01377","","080121","080121"
"1714","Crops, primary","181","Broad beans and horse beans, dry","1","01702","","071350","071350"
"1714","Crops, primary","420","Broad beans and horse beans, green","1","01243","","070890","070890"
"1714","Crops, primary","89","Buckwheat","1","01192","","100810","100810"
"1714","Crops, primary","358","Cabbages","1","01212","","070420, 070490","070420, 070490"
"1714","Crops, primary","101","Canary seed","1","01195","","100830","100830"
"1714","Crops, primary","568","Cantaloupes and other melons","1","01229","","080719","080719"
"1714","Crops, primary","426","Carrots and turnips","1","01251","","070610","070610"
"1714","Crops, primary","217","Cashew nuts, in shell","1","01372","","080131","080131"
"1714","Crops, primary","591","Cashewapple","1","01359.02","","081090","081090"
"1714","Crops, primary","125","Cassava, fresh","1","01520.01","","071410","071410"
"1714","Crops, primary","265","Castor oil seeds","1","01447","","120799","120730"
"1714","Crops, primary","393","Cauliflowers and broccoli","1","01213","","070410","070410"
"1714","Crops, primary","108","Cereals n.e.c.","1","01199.90","","100890","100890"
"1714","Crops, primary","531","Cherries","1","01344.02","","080920","080929"
"1714","Crops, primary","220","Chestnuts, in shell","1","01373","","080240","080241, 080242"
"1714","Crops, primary","191","Chick peas, dry","1","01703","","071320","071320"
"1714","Crops, primary","459","Chicory roots","1","01691","","121299","121294"
"1714","Crops, primary","689","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","1","01652","","090420","090421, 090422"
"1714","Crops, primary","401","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","1","01231","","070960","070960"
"1714","Crops, primary","693","Cinnamon and cinnamon-tree flowers, raw","1","01655","","090611, 090619, 090620","090611, 090619, 090620"
"1714","Crops, primary","698","Cloves (whole stems), raw","1","01656","","090700","090710, 090720"
"1714","Crops, primary","661","Cocoa beans","1","01640","","180100","180100"
"1714","Crops, primary","249","Coconuts, in shell","1","01460","","080119","080112, 080119"
"1714","Crops, primary","656","Coffee, green","1","01610","","090111","090111"
"1714","Crops, primary","195","Cow peas, dry","1","01706","","071339","071335"
"1714","Crops, primary","554","Cranberries","1","01355.02","","081040","081040"
"1714","Crops, primary","397","Cucumbers and gherkins","1","01232","","070700","070700"
"1714","Crops, primary","550","Currants","1","01351.01","","081090","081030"
"1714","Crops, primary","577","Dates","1","01314","","080410","080410"
"1714","Crops, primary","149","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","1","01599.10","","071490","071490"
"1714","Crops, primary","399","Eggplants (aubergines)","1","01233","","070930","070930"
"1714","Crops, primary","569","Figs","1","01315","","080420","080420"
"1714","Crops, primary","771","Flax, raw or retted","1","01929.01","","530110","530110"
"1714","Crops, primary","94","Fonio","1","01193","","100890","100840"
"1714","Crops, primary","720","Ginger, raw","1","01657","","091010","091011, 091012"
"1714","Crops, primary","549","Gooseberries","1","01351.02","","081090","081030"
"1714","Crops, primary","560","Grapes","1","01330","","080610","080610"
"1714","Crops, primary","446","Green corn (maize)","1","01290.01","","070990","070999"
"1714","Crops, primary","406","Green garlic","1","01252","","070320","070320"
"1714","Crops, primary","242","Groundnuts, excluding shelled","1","0142","","120210, 120220","120230, 120241"
"1714","Crops, primary","225","Hazelnuts, in shell","1","01374","","080221","080221"
"1714","Crops, primary","336","Hempseed","1","01449.02","","120799","120799"
"1714","Crops, primary","677","Hop cones","1","01659","","121010, 121020","121010, 121020"
"1714","Crops, primary","277","Jojoba seeds","1","01499.03","","120799","120799"
"1714","Crops, primary","780","Jute, raw or retted","1","01922.01","","530310, 530390","530310, 530390"
"1714","Crops, primary","310","Kapok fruit","1","01499.05","","120799","120799"
"1714","Crops, primary","263","Karite nuts (sheanuts)","1","01499.01","","120799","120799"
"1714","Crops, primary","782","Kenaf, and other textile bast fibres, raw or retted","1","01922.02","","530310, 530390","530310, 530390"
"1714","Crops, primary","592","Kiwi fruit","1","01352","","081050","081050"
"1714","Crops, primary","224","Kola nuts","1","01379.02","","080290","080270"
"1714","Crops, primary","407","Leeks and other alliaceous vegetables","1","01254","","070390","070390"
"1714","Crops, primary","497","Lemons and limes","1","01322","","080550","080550"
"1714","Crops, primary","201","Lentils, dry","1","01704","","071340","071340"
"1714","Crops, primary","372","Lettuce and chicory","1","01214","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
"1714","Crops, primary","333","Linseed","1","01441","","120400","120400"
"1714","Crops, primary","461","Locust beans (carobs)","1","01356","","121299","121292"
"1714","Crops, primary","210","Lupins","1","01709.02","","121490","121490"
"1714","Crops, primary","56","Maize (corn)","1","0112","","100510, 100590","100510, 100590"
"1714","Crops, primary","571","Mangoes, guavas and mangosteens","1","01316","","080450","080450"
"1714","Crops, primary","671","Maté leaves","1","01630","","090300","090300"
"1714","Crops, primary","299","Melonseed","1","01449.01","","120799","120770"
"1714","Crops, primary","79","Millet","1","0118","","100820","100821, 100829"
"1714","Crops, primary","103","Mixed grain","1","01199.02","","100890","100890"
"1714","Crops, primary","449","Mushrooms and truffles","1","01270","","070951, 070959","070951, 070959"
"1714","Crops, primary","292","Mustard seed","1","01442","","120750","120750"
"1714","Crops, primary","836","Natural rubber in primary forms","1","01950.01","","400110","400110"
"1714","Crops, primary","702","Nutmeg, mace, cardamoms, raw","1","01653","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832"
"1714","Crops, primary","75","Oats","1","0117","","100400","100410, 100490"
"1714","Crops, primary","254","Oil palm fruit","1","01491.01","","120799","120710"
"1714","Crops, primary","430","Okra","1","01239.01","","070990","070999"
"1714","Crops, primary","260","Olives","1","01450","","070990","070992"
"1714","Crops, primary","403","Onions and shallots, dry (excluding dehydrated)","1","01253.02","","070310","070310"
"1714","Crops, primary","402","Onions and shallots, green","1","01253.01","","070310","070310"
"1714","Crops, primary","490","Oranges","1","01323","","080510","080510"
"1714","Crops, primary","414","Other beans, green","1","01241.90","","070820","070820"
"1714","Crops, primary","558","Other berries and fruits of the genus vaccinium n.e.c.","1","01355.90","","081020, 081040","081020, 081040"
"1714","Crops, primary","512","Other citrus fruit, n.e.c.","1","01329","","080590","080590"
"1714","Crops, primary","821","Other fibre crops, raw, n.e.c.","1","01929.90","","530500","530500"
"1714","Crops, primary","619","Other fruits, n.e.c.","1","01359.90","","081090","081090"
"1714","Crops, primary","234","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","1","01379.90","","080260, 080290","080261, 080262, 080290"
"1714","Crops, primary","339","Other oil seeds, n.e.c.","1","01449.90","","120799","120799"
"1714","Crops, primary","542","Other pome fruits","1","01349.10","","081090","081090"
"1714","Crops, primary","211","Other pulses n.e.c.","1","01709.90","","071390","071390"
"1714","Crops, primary","723","Other stimulant, spice and aromatic crops, n.e.c.","1","01699","","091020, 091030, 091091, 091099","091020, 091030, 091091, 091099"
"1714","Crops, primary","541","Other stone fruits","1","01349.20","","081090","081090"
"1714","Crops, primary","161","Other sugar crops n.e.c.","1","01809","","121299","121299"
"1714","Crops, primary","603","Other tropical fruits, n.e.c.","1","01319","","080450, 081060, 081090","080450, 081060, 081090"
"1714","Crops, primary","463","Other vegetables, fresh n.e.c.","1","01290.90","","070690, 070940, 070990","070690, 070940, 070999"
"1714","Crops, primary","600","Papayas","1","01317","","080720","080720"
"1714","Crops, primary","534","Peaches and nectarines","1","01345","","080930","080930"
"1714","Crops, primary","521","Pears","1","01342.01","","080820","080830"
"1714","Crops, primary","187","Peas, dry","1","01705","","071310","071310"
"1714","Crops, primary","417","Peas, green","1","01242","","070810","070810"
"1714","Crops, primary","687","Pepper (Piper spp.), raw","1","01651","","090411, 090412","090411, 090412"
"1714","Crops, primary","748","Peppermint, spearmint","1","01930.01","","121190","121190"
"1714","Crops, primary","587","Persimmons","1","01359.01","","081090","081070"
"1714","Crops, primary","197","Pigeon peas, dry","1","01707","","071390","071360"
"1714","Crops, primary","574","Pineapples","1","01318","","080430","080430"
"1714","Crops, primary","223","Pistachios, in shell","1","01375","","080250","080251, 080252"
"1714","Crops, primary","489","Plantains and cooking bananas","1","01313","","080300","080310"
"1714","Crops, primary","536","Plums and sloes","1","01346","","080940","080940"
"1714","Crops, primary","507","Pomelos and grapefruits","1","01321","","080540","080540"
"1714","Crops, primary","296","Poppy seed","1","01448","","120791","120791"
"1714","Crops, primary","116","Potatoes","1","01510","","070110, 070190","070110, 070190"
"1714","Crops, primary","394","Pumpkins, squash and gourds","1","01235","","070990","070993"
"1714","Crops, primary","754","Pyrethrum, dried flowers","1","01930.02","","121190","121190"
"1714","Crops, primary","523","Quinces","1","01342.02","","080820","080840"
"1714","Crops, primary","92","Quinoa","1","01194","","100890","100850"
"1714","Crops, primary","788","Ramie, raw or retted","1","01929.04","","530500","530500"
"1714","Crops, primary","270","Rape or colza seed","1","01443","","120510, 120590","120510, 120590"
"1714","Crops, primary","547","Raspberries","1","01353.01","","081020","081020"
"1714","Crops, primary","27","Rice","1","0113","","100610","100610"
"1714","Crops, primary","71","Rye","1","0116","","100200","100210, 100290"
"1714","Crops, primary","280","Safflower seed","1","01446","","120799","120760"
"1714","Crops, primary","328","Seed cotton, unginned","1","01921.01","","520100","520100"
"1714","Crops, primary","289","Sesame seed","1","01444","","120740","120740"
"1714","Crops, primary","789","Sisal, raw","1","01929.05","","530500","530500"
"1714","Crops, primary","83","Sorghum","1","0114","","100700","100710, 100790"
"1714","Crops, primary","530","Sour cherries","1","01344.01","","080920","080921"
"1714","Crops, primary","236","Soya beans","1","0141","","120100","120110, 120190"
"1714","Crops, primary","373","Spinach","1","01215","","070970","070970"
"1714","Crops, primary","544","Strawberries","1","01354","","081010","081010"
"1714","Crops, primary","423","String beans","1","01241.01","","070820","070820"
"1714","Crops, primary","157","Sugar beet","1","01801","","121291","121291"
"1714","Crops, primary","156","Sugar cane","1","01802","","121299","121293"
"1714","Crops, primary","267","Sunflower seed","1","01445","","120600","120600"
"1714","Crops, primary","122","Sweet potatoes","1","01530","","071420","071420"
"1714","Crops, primary","305","Tallowtree seeds","1","01499.04","","120799","120799"
"1714","Crops, primary","495","Tangerines, mandarins, clementines","1","01324","","080520","080520"
"1714","Crops, primary","136","Taro","1","01550","","071490","071440"
"1714","Crops, primary","667","Tea leaves","1","01620","","090210, 090220, 090230, 090240","090210, 090220, 090230, 090240"
"1714","Crops, primary","388","Tomatoes","1","01234","","070200","070200"
"1714","Crops, primary","97","Triticale","1","01191","","100890","100860"
"1714","Crops, primary","777","True hemp, raw or retted","1","01929.02","","530210, 530290","530210, 530290"
"1714","Crops, primary","275","Tung nuts","1","01499.02","","120799","120799"
"1714","Crops, primary","826","Unmanufactured tobacco","1","01970","","240110, 240120, 240130","240110, 240120, 240130"
"1714","Crops, primary","692","Vanilla, raw","1","01658","","090500","090510, 090520"
"1714","Crops, primary","205","Vetches","1","01709.01","","121490","121490"
"1714","Crops, primary","222","Walnuts, in shell","1","01376","","080231","080231"
"1714","Crops, primary","567","Watermelons","1","01221","","080711","080711"
"1714","Crops, primary","15","Wheat","1","0111","","100110, 100190","100111, 100119, 100191, 100199"
"1714","Crops, primary","137","Yams","1","01540","","071490","071430"
"1714","Crops, primary","135","Yautia","1","01591","","071490","071450"
"QC","Crops, primary","809","Abaca, manila hemp, raw","1","01929.07","","530500","530500"
"QC","Crops, primary","800","Agave fibres, raw, n.e.c.","1","01929.06","","530500","530500"
"QC","Crops, primary","221","Almonds, in shell","1","01371","","080211","080211"
"QC","Crops, primary","711","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1","01654","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
"QC","Crops, primary","515","Apples","1","01341","","080810","080810"
"QC","Crops, primary","526","Apricots","1","01343","","080910","080910"
"QC","Crops, primary","226","Areca nuts","1","01379.01","","080290","080280"
"QC","Crops, primary","366","Artichokes","1","01216","","070990","070991"
"QC","Crops, primary","367","Asparagus","1","01211","","070920","070920"
"QC","Crops, primary","572","Avocados","1","01311","","080440","080440"
"QC","Crops, primary","839","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","1","03211","","400130","400130"
"QC","Crops, primary","203","Bambara beans, dry","1","01708","","071339","071334"
"QC","Crops, primary","486","Bananas","1","01312","","080300","080390"
"QC","Crops, primary","44","Barley","1","0115","","100300","100310, 100390"
"QC","Crops, primary","176","Beans, dry","1","01701","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
"QC","Crops, primary","552","Blueberries","1","01355.01","","081040","081040"
"QC","Crops, primary","216","Brazil nuts, in shell","1","01377","","080121","080121"
"QC","Crops, primary","181","Broad beans and horse beans, dry","1","01702","","071350","071350"
"QC","Crops, primary","420","Broad beans and horse beans, green","1","01243","","070890","070890"
"QC","Crops, primary","89","Buckwheat","1","01192","","100810","100810"
"QC","Crops, primary","358","Cabbages","1","01212","","070420, 070490","070420, 070490"
"QC","Crops, primary","101","Canary seed","1","01195","","100830","100830"
"QC","Crops, primary","568","Cantaloupes and other melons","1","01229","","080719","080719"
"QC","Crops, primary","426","Carrots and turnips","1","01251","","070610","070610"
"QC","Crops, primary","217","Cashew nuts, in shell","1","01372","","080131","080131"
"QC","Crops, primary","591","Cashewapple","1","01359.02","","081090","081090"
"QC","Crops, primary","378","Cassava leaves","1","01219.01","","070990","070999"
"QC","Crops, primary","125","Cassava, fresh","1","01520.01","","071410","071410"
"QC","Crops, primary","265","Castor oil seeds","1","01447","","120799","120730"
"QC","Crops, primary","393","Cauliflowers and broccoli","1","01213","","070410","070410"
"QC","Crops, primary","108","Cereals n.e.c.","1","01199.90","","100890","100890"
"QC","Crops, primary","1717","Cereals, primary","1","F1717","","",""
"QC","Crops, primary","531","Cherries","1","01344.02","","080920","080929"
"QC","Crops, primary","220","Chestnuts, in shell","1","01373","","080240","080241, 080242"
"QC","Crops, primary","191","Chick peas, dry","1","01703","","071320","071320"
"QC","Crops, primary","459","Chicory roots","1","01691","","121299","121294"
"QC","Crops, primary","689","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","1","01652","","090420","090421, 090422"
"QC","Crops, primary","401","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","1","01231","","070960","070960"
"QC","Crops, primary","693","Cinnamon and cinnamon-tree flowers, raw","1","01655","","090611, 090619, 090620","090611, 090619, 090620"
"QC","Crops, primary","1804","Citrus Fruit, Total","1","F1804","","",""
"QC","Crops, primary","698","Cloves (whole stems), raw","1","01656","","090700","090710, 090720"
"QC","Crops, primary","661","Cocoa beans","1","01640","","180100","180100"
"QC","Crops, primary","249","Coconuts, in shell","1","01460","","080119","080112, 080119"
"QC","Crops, primary","656","Coffee, green","1","01610","","090111","090111"
"QC","Crops, primary","813","Coir, raw","1","01929.08","","530500","530500"
"QC","Crops, primary","195","Cow peas, dry","1","01706","","071339","071335"
"QC","Crops, primary","554","Cranberries","1","01355.02","","081040","081040"
"QC","Crops, primary","397","Cucumbers and gherkins","1","01232","","070700","070700"
"QC","Crops, primary","550","Currants","1","01351.01","","081090","081030"
"QC","Crops, primary","577","Dates","1","01314","","080410","080410"
"QC","Crops, primary","149","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","1","01599.10","","071490","071490"
"QC","Crops, primary","399","Eggplants (aubergines)","1","01233","","070930","070930"
"QC","Crops, primary","17530","Fibre Crops, Fibre Equivalent","1","F17530","","",""
"QC","Crops, primary","569","Figs","1","01315","","080420","080420"
"QC","Crops, primary","771","Flax, raw or retted","1","01929.01","","530110","530110"
"QC","Crops, primary","94","Fonio","1","01193","","100890","100840"
"QC","Crops, primary","1738","Fruit Primary","1","F1738","","",""
"QC","Crops, primary","720","Ginger, raw","1","01657","","091010","091011, 091012"
"QC","Crops, primary","549","Gooseberries","1","01351.02","","081090","081030"
"QC","Crops, primary","560","Grapes","1","01330","","080610","080610"
"QC","Crops, primary","446","Green corn (maize)","1","01290.01","","070990","070999"
"QC","Crops, primary","406","Green garlic","1","01252","","070320","070320"
"QC","Crops, primary","242","Groundnuts, excluding shelled","1","0142","","120210, 120220","120230, 120241"
"QC","Crops, primary","225","Hazelnuts, in shell","1","01374","","080221","080221"
"QC","Crops, primary","336","Hempseed","1","01449.02","","120799","120799"
"QC","Crops, primary","677","Hop cones","1","01659","","121010, 121020","121010, 121020"
"QC","Crops, primary","277","Jojoba seeds","1","01499.03","","120799","120799"
"QC","Crops, primary","780","Jute, raw or retted","1","01922.01","","530310, 530390","530310, 530390"
"QC","Crops, primary","310","Kapok fruit","1","01499.05","","120799","120799"
"QC","Crops, primary","263","Karite nuts (sheanuts)","1","01499.01","","120799","120799"
"QC","Crops, primary","782","Kenaf, and other textile bast fibres, raw or retted","1","01922.02","","530310, 530390","530310, 530390"
"QC","Crops, primary","592","Kiwi fruit","1","01352","","081050","081050"
"QC","Crops, primary","224","Kola nuts","1","01379.02","","080290","080270"
"QC","Crops, primary","407","Leeks and other alliaceous vegetables","1","01254","","070390","070390"
"QC","Crops, primary","497","Lemons and limes","1","01322","","080550","080550"
"QC","Crops, primary","201","Lentils, dry","1","01704","","071340","071340"
"QC","Crops, primary","372","Lettuce and chicory","1","01214","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
"QC","Crops, primary","333","Linseed","1","01441","","120400","120400"
"QC","Crops, primary","461","Locust beans (carobs)","1","01356","","121299","121292"
"QC","Crops, primary","210","Lupins","1","01709.02","","121490","121490"
"QC","Crops, primary","56","Maize (corn)","1","0112","","100510, 100590","100510, 100590"
"QC","Crops, primary","571","Mangoes, guavas and mangosteens","1","01316","","080450","080450"
"QC","Crops, primary","671","Maté leaves","1","01630","","090300","090300"
"QC","Crops, primary","299","Melonseed","1","01449.01","","120799","120770"
"QC","Crops, primary","79","Millet","1","0118","","100820","100821, 100829"
"QC","Crops, primary","103","Mixed grain","1","01199.02","","100890","100890"
"QC","Crops, primary","449","Mushrooms and truffles","1","01270","","070951, 070959","070951, 070959"
"QC","Crops, primary","292","Mustard seed","1","01442","","120750","120750"
"QC","Crops, primary","836","Natural rubber in primary forms","1","01950.01","","400110","400110"
"QC","Crops, primary","702","Nutmeg, mace, cardamoms, raw","1","01653","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832"
"QC","Crops, primary","75","Oats","1","0117","","100400","100410, 100490"
"QC","Crops, primary","254","Oil palm fruit","1","01491.01","","120799","120710"
"QC","Crops, primary","1841","Oilcrops, Cake Equivalent","1","F1841","","",""
"QC","Crops, primary","1732","Oilcrops, Oil Equivalent","1","F1732","","",""
"QC","Crops, primary","430","Okra","1","01239.01","","070990","070999"
"QC","Crops, primary","260","Olives","1","01450","","070990","070992"
"QC","Crops, primary","403","Onions and shallots, dry (excluding dehydrated)","1","01253.02","","070310","070310"
"QC","Crops, primary","402","Onions and shallots, green","1","01253.01","","070310","070310"
"QC","Crops, primary","490","Oranges","1","01323","","080510","080510"
"QC","Crops, primary","414","Other beans, green","1","01241.90","","070820","070820"
"QC","Crops, primary","558","Other berries and fruits of the genus vaccinium n.e.c.","1","01355.90","","081020, 081040","081020, 081040"
"QC","Crops, primary","512","Other citrus fruit, n.e.c.","1","01329","","080590","080590"
"QC","Crops, primary","821","Other fibre crops, raw, n.e.c.","1","01929.90","","530500","530500"
"QC","Crops, primary","619","Other fruits, n.e.c.","1","01359.90","","081090","081090"
"QC","Crops, primary","234","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","1","01379.90","","080260, 080290","080261, 080262, 080290"
"QC","Crops, primary","339","Other oil seeds, n.e.c.","1","01449.90","","120799","120799"
"QC","Crops, primary","542","Other pome fruits","1","01349.10","","081090","081090"
"QC","Crops, primary","211","Other pulses n.e.c.","1","01709.90","","071390","071390"
"QC","Crops, primary","723","Other stimulant, spice and aromatic crops, n.e.c.","1","01699","","091020, 091030, 091091, 091099","091020, 091030, 091091, 091099"
"QC","Crops, primary","541","Other stone fruits","1","01349.20","","081090","081090"
"QC","Crops, primary","161","Other sugar crops n.e.c.","1","01809","","121299","121299"
"QC","Crops, primary","603","Other tropical fruits, n.e.c.","1","01319","","080450, 081060, 081090","080450, 081060, 081090"
"QC","Crops, primary","463","Other vegetables, fresh n.e.c.","1","01290.90","","070690, 070940, 070990","070690, 070940, 070999"
"QC","Crops, primary","600","Papayas","1","01317","","080720","080720"
"QC","Crops, primary","534","Peaches and nectarines","1","01345","","080930","080930"
"QC","Crops, primary","521","Pears","1","01342.01","","080820","080830"
"QC","Crops, primary","187","Peas, dry","1","01705","","071310","071310"
